Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Demand Forecast,Holiday/Promotion
2022-01-01,S001,P0001,Groceries,North,231,127,135.47,0
2022-01-01,S001,P0002,Toys,South,204,150,144.04,0
2022-01-01,S001,P0003,Toys,West,102,65,74.02,1
2022-01-01,S001,P0004,Toys,North,469,61,62.18,1
2022-01-01,S001,P0005,Electronics,East,166,14,9.26,0
2022-01-01,S001,P0006,Groceries,South,138,128,139.82,1
2022-01-01,S001,P0007,Furniture,East,359,97,108.92,1
2022-01-01,S001,P0008,Clothing,North,380,312,329.73,0
2022-01-01,S001,P0009,Electronics,West,183,175,174.15,0
2022-01-01,S001,P0010,Toys,South,108,28,24.47,1
2022-01-01,S001,P0011,Furniture,South,258,150,152.74,1
2022-01-01,S001,P0012,Clothing,West,66,24,26.75,0
2022-01-01,S001,P0013,Toys,South,96,42,41.46,0
2022-01-01,S001,P0014,Clothing,West,193,12,6.8,0
2022-01-01,S001,P0015,Clothing,North,379,369,363.46,0
2022-01-01,S001,P0016,Electronics,North,363,255,255.74,1
2022-01-01,S001,P0017,Toys,West,318,246,255.37,0
2022-01-01,S001,P0018,Clothing,South,241,151,147.27,0
2022-01-01,S001,P0019,Clothing,East,352,257,267.38,0
2022-01-01,S001,P0020,Toys,East,274,99,115.23,0
2022-01-01,S002,P0001,Groceries,South,343,104,112.55,1
2022-01-01,S002,P0002,Clothing,West,373,141,135.62,1
2022-01-01,S002,P0003,Furniture,East,445,182,176.31,1
2022-01-01,S002,P0004,Toys,West,191,63,54.57,0
2022-01-01,S002,P0005,Toys,West,281,156,150.9,0
2022-01-01,S002,P0006,Furniture,North,492,250,242.57,0
2022-01-01,S002,P0007,Groceries,West,460,393,401.48,0
2022-01-01,S002,P0008,Electronics,West,304,29,35.54,0
2022-01-01,S002,P0009,Clothing,South,113,9,14.78,1
2022-01-01,S002,P0010,Electronics,North,157,126,132.75,1
2022-01-01,S002,P0011,Groceries,West,67,13,7.44,1
2022-01-01,S002,P0012,Groceries,East,281,25,37.27,1
